transaction_amount,transaction_hour,customer_transaction_count,customer_average_amount,international_transaction,failed_transactions,amount_deviation,amount_ratio,high_amount_flag,night_transaction,failed_transaction_ratio,actual_fraud,fraud_probability,risk_score,risk_level
90.15,20,17,234.63,0,1,-144.48,0.38422196650044754,0,0,0.058823529411764705,0,0.06,6.0,Low Risk
45.4,2,24,56.57,0,0,-11.170000000000002,0.8025455188262329,0,1,0.0,0,0.06,6.0,Low Risk
77.61,14,11,398.25,0,1,-320.64,0.19487758945386063,0,0,0.09090909090909091,0,0.06,6.0,Low Risk
428.61,6,27,195.13,1,4,233.48000000000002,2.1965356429047302,1,0,0.14814814814814814,0,0.06,6.0,Low Risk
74.95,7,3,79.88,0,1,-4.929999999999993,0.9382824236354532,0,0,0.3333333333333333,0,0.06,6.0,Low Risk
80.47,6,11,200.82,0,3,-120.35,0.4007071008863659,0,0,0.2727272727272727,0,0.06,6.0,Low Risk
232.93,13,13,35.95,1,1,196.98000000000002,6.479276773296244,1,0,0.07692307692307693,0,0.06,6.0,Low Risk
31.51,8,28,304.56,0,1,-273.05,0.10346073023377989,0,0,0.03571428571428571,0,0.06,6.0,Low Risk
103.34,21,20,162.11,0,2,-58.77000000000001,0.6374683856640553,0,0,0.1,0,0.06,6.0,Low Risk
38.29,17,26,147.19,1,3,-108.9,0.26013995515999727,0,0,0.11538461538461539,0,0.06,6.0,Low Risk
93.58,2,20,206.06,1,1,-112.48,0.4541395709987382,0,1,0.05,0,0.06,6.0,Low Risk
124.21,5,10,208.93,0,2,-84.72000000000001,0.5945053367156463,0,1,0.2,0,0.06,6.0,Low Risk
108.64,0,25,60.77,0,0,47.87,1.7877242060227085,0,1,0.0,0,0.06,6.0,Low Risk
23.47,0,39,48.46,0,4,-24.990000000000002,0.4843169624432521,0,1,0.10256410256410256,0,0.06,6.0,Low Risk
512.8,15,21,274.06,0,4,238.73999999999995,1.8711231117273588,0,0,0.19047619047619047,0,0.06,6.0,Low Risk
308.82,19,21,101.43,0,3,207.39,3.0446613427979883,1,0,0.14285714285714285,0,0.055,5.5,Low Risk
91.2,9,8,123.28,0,4,-32.08,0.7397793640493187,0,0,0.5,0,0.055,5.5,Low Risk
117.47,0,10,67.98,1,3,49.489999999999995,1.7280082377169754,0,1,0.3,0,0.055,5.5,Low Risk
219.07,13,26,75.37,0,0,143.7,2.9065941355977176,1,0,0.0,0,0.055,5.5,Low Risk
55.46,4,36,101.08,1,1,-45.62,0.5486743173723784,0,1,0.027777777777777776,0,0.055,5.5,Low Risk
200.69,13,13,86.85,0,0,113.84,2.3107656879677605,1,0,0.0,0,0.055,5.5,Low Risk
26.0,13,26,133.44,1,2,-107.44,0.19484412470023982,0,0,0.07692307692307693,0,0.055,5.5,Low Risk
372.62,20,23,65.88,0,1,306.74,5.656041287188828,1,0,0.043478260869565216,0,0.055,5.5,Low Risk
45.25,9,1,120.04,0,0,-74.79,0.3769576807730756,0,0,0.0,0,0.055,5.5,Low Risk
53.74,8,4,128.18,0,0,-74.44,0.41925417381806834,0,0,0.0,0,0.055,5.5,Low Risk
49.52,6,3,75.45,0,2,-25.93,0.6563286944996687,0,0,0.6666666666666666,0,0.055,5.5,Low Risk
80.55,2,24,62.21,0,2,18.339999999999996,1.294807908696351,0,1,0.08333333333333333,0,0.055,5.5,Low Risk
186.0,4,24,170.09,0,1,15.909999999999997,1.093538714798048,0,1,0.041666666666666664,0,0.055,5.5,Low Risk
443.03,10,12,218.33,1,1,224.69999999999996,2.029176017954472,1,0,0.08333333333333333,0,0.055,5.5,Low Risk
92.14,15,12,114.53,0,6,-22.39,0.8045053697721121,0,0,0.5,0,0.055,5.5,Low Risk
101.44,2,14,171.56,0,6,-70.12,0.5912800186523665,0,1,0.42857142857142855,0,0.055,5.5,Low Risk
171.14,9,15,31.82,1,0,139.32,5.378378378378378,1,0,0.0,0,0.055,5.5,Low Risk
112.11,12,18,29.35,0,3,82.75999999999999,3.819761499148211,1,0,0.16666666666666666,0,0.055,5.5,Low Risk
53.86,19,18,214.62,0,2,-160.76,0.25095517659118444,0,0,0.1111111111111111,0,0.055,5.5,Low Risk
30.42,7,17,96.8,0,2,-66.38,0.31425619834710744,0,0,0.11764705882352941,0,0.055,5.5,Low Risk
105.95,4,13,75.53,0,6,30.42,1.4027538726333908,0,1,0.46153846153846156,0,0.055,5.5,Low Risk
128.67,14,1,480.6,0,0,-351.93000000000006,0.26772784019975027,0,0,0.0,0,0.055,5.5,Low Risk
86.04,22,15,166.83,0,2,-80.79,0.5157345801114908,0,0,0.13333333333333333,0,0.055,5.5,Low Risk
262.59,4,25,103.96,0,1,158.63,2.525875336667949,1,1,0.04,0,0.055,5.5,Low Risk
62.27,21,21,267.89,0,0,-205.61999999999998,0.23244615327186535,0,0,0.0,0,0.055,5.5,Low Risk
228.12,3,33,66.02,1,0,162.10000000000002,3.455316570736141,1,1,0.0,0,0.055,5.5,Low Risk
50.01,11,23,43.44,1,2,6.57,1.151243093922652,0,0,0.08695652173913043,0,0.055,5.5,Low Risk
183.87,0,13,68.87,1,2,115.0,2.6698126905764483,1,1,0.15384615384615385,0,0.055,5.5,Low Risk
131.57,3,17,91.16,0,0,40.41,1.4432865291794648,0,1,0.0,0,0.055,5.5,Low Risk
127.72,2,27,114.06,0,2,13.659999999999997,1.1197615290198142,0,1,0.07407407407407407,0,0.055,5.5,Low Risk
211.2,17,6,51.36,0,1,159.83999999999997,4.11214953271028,1,0,0.16666666666666666,0,0.055,5.5,Low Risk
54.6,14,41,40.1,0,3,14.5,1.3615960099750624,0,0,0.07317073170731707,0,0.055,5.5,Low Risk
37.94,6,25,297.84,1,1,-259.9,0.12738383024442654,0,0,0.04,0,0.055,5.5,Low Risk
103.25,8,13,211.42,0,0,-108.16999999999999,0.4883643931510737,0,0,0.0,0,0.055,5.5,Low Risk
269.9,14,26,165.81,0,0,104.08999999999997,1.6277667209456606,0,0,0.0,0,0.055,5.5,Low Risk
458.88,4,18,201.11,0,1,257.77,2.2817363631843266,1,1,0.05555555555555555,0,0.055,5.5,Low Risk
148.2,13,22,61.05,1,4,87.14999999999999,2.4275184275184274,1,0,0.18181818181818182,0,0.055,5.5,Low Risk
110.67,9,34,73.33,0,3,37.34,1.5092049638619938,0,0,0.08823529411764706,0,0.055,5.5,Low Risk
360.21,18,30,158.17,0,2,202.04,2.277359802743883,1,0,0.06666666666666667,0,0.055,5.5,Low Risk
77.31,0,15,73.87,0,3,3.4399999999999977,1.0465682956545281,0,1,0.2,0,0.055,5.5,Low Risk
20.72,6,7,68.95,0,1,-48.230000000000004,0.30050761421319794,0,0,0.14285714285714285,0,0.055,5.5,Low Risk
71.9,7,24,124.11,0,3,-52.209999999999994,0.5793247925227621,0,0,0.125,0,0.055,5.5,Low Risk
306.36,18,16,58.13,0,2,248.23000000000002,5.270256322036814,1,0,0.125,0,0.055,5.5,Low Risk
308.51,18,22,82.68,0,4,225.82999999999998,3.7313739719400094,1,0,0.18181818181818182,0,0.055,5.5,Low Risk
56.14,6,9,115.38,1,2,-59.239999999999995,0.4865661293118392,0,0,0.2222222222222222,0,0.055,5.5,Low Risk
141.81,15,28,268.38,0,0,-126.57,0.5283925776883523,0,0,0.0,0,0.055,5.5,Low Risk
193.99,23,30,119.74,0,1,74.25000000000001,1.6200935359946553,0,1,0.03333333333333333,0,0.055,5.5,Low Risk
42.62,19,24,267.4,0,3,-224.77999999999997,0.1593866866118175,0,0,0.125,0,0.055,5.5,Low Risk
119.5,15,16,191.55,1,1,-72.05000000000001,0.6238580005220569,0,0,0.0625,0,0.055,5.5,Low Risk
419.17,1,26,118.35,1,1,300.82000000000005,3.54178284748627,1,1,0.038461538461538464,0,0.055,5.5,Low Risk
52.82,20,8,83.2,0,3,-30.380000000000003,0.6348557692307693,0,0,0.375,0,0.055,5.5,Low Risk
149.45,11,16,421.37,0,1,-271.92,0.35467641265396205,0,0,0.0625,0,0.055,5.5,Low Risk
74.72,20,34,60.35,0,1,14.369999999999997,1.2381110190555096,0,0,0.029411764705882353,0,0.055,5.5,Low Risk
28.46,23,27,71.11,0,0,-42.65,0.40022500351567997,0,1,0.0,0,0.055,5.5,Low Risk
247.63,7,24,48.74,0,0,198.89,5.080631924497332,1,0,0.0,0,0.055,5.5,Low Risk
84.51,11,35,47.43,0,1,37.080000000000005,1.7817836812144214,0,0,0.02857142857142857,0,0.055,5.5,Low Risk
244.64,5,16,37.49,1,2,207.14999999999998,6.525473459589223,1,1,0.125,0,0.055,5.5,Low Risk
58.78,2,34,149.64,0,1,-90.85999999999999,0.392809409248864,0,1,0.029411764705882353,0,0.055,5.5,Low Risk
81.95,22,12,162.52,1,0,-80.57000000000001,0.504245631306916,0,0,0.0,0,0.055,5.5,Low Risk
140.9,18,16,202.1,1,2,-61.19999999999999,0.6971796140524493,0,0,0.125,0,0.055,5.5,Low Risk
70.32,23,26,48.03,0,0,22.289999999999992,1.4640849469081822,0,1,0.0,0,0.055,5.5,Low Risk
268.41,10,4,268.62,0,3,-0.20999999999997954,0.9992182264909538,0,0,0.75,0,0.055,5.5,Low Risk
420.65,6,21,75.72,0,0,344.92999999999995,5.555335446381405,1,0,0.0,0,0.055,5.5,Low Risk
121.94,6,12,30.63,0,3,91.31,3.981064316030036,1,0,0.25,0,0.055,5.5,Low Risk
379.79,8,31,86.76,0,0,293.03000000000003,4.377478100507146,1,0,0.0,0,0.055,5.5,Low Risk
301.95,21,31,70.83,0,4,231.12,4.263024142312579,1,0,0.12903225806451613,0,0.055,5.5,Low Risk
126.32,15,19,122.09,0,3,4.22999999999999,1.0346465722008353,0,0,0.15789473684210525,0,0.055,5.5,Low Risk
58.05,12,9,57.81,0,1,0.23999999999999488,1.0041515308770108,0,0,0.1111111111111111,0,0.055,5.5,Low Risk
204.85,8,28,105.11,0,0,99.74,1.9489106650176005,0,0,0.0,0,0.055,5.5,Low Risk
38.72,5,15,60.41,0,2,-21.689999999999998,0.6409534845224301,0,1,0.13333333333333333,0,0.055,5.5,Low Risk
171.57,5,18,213.67,0,1,-42.099999999999994,0.8029671923994945,0,1,0.05555555555555555,0,0.05,5.0,Low Risk
471.68,10,15,62.06,0,1,409.62,7.600386722526587,1,0,0.06666666666666667,0,0.05,5.0,Low Risk
80.85,0,32,33.33,0,1,47.519999999999996,2.4257425742574257,1,1,0.03125,0,0.05,5.0,Low Risk
355.96,9,2,672.26,0,3,-316.3,0.5294975158420849,0,0,1.5,0,0.05,5.0,Low Risk
38.41,13,16,96.78,1,1,-58.370000000000005,0.3968795205620996,0,0,0.0625,0,0.05,5.0,Low Risk
68.73,10,37,46.09,0,3,22.64,1.4912128444348014,0,0,0.08108108108108109,0,0.05,5.0,Low Risk
35.38,5,21,45.57,0,0,-10.189999999999998,0.7763879745446566,0,1,0.0,0,0.05,5.0,Low Risk
159.29,12,1,239.94,0,0,-80.65,0.6638743019088105,0,0,0.0,0,0.05,5.0,Low Risk
47.73,2,20,116.29,0,1,-68.56,0.4104394186946427,0,1,0.05,0,0.05,5.0,Low Risk
25.75,5,22,112.36,0,0,-86.61,0.2291740833036668,0,1,0.0,0,0.05,5.0,Low Risk
62.09,10,16,134.12,0,1,-72.03,0.4629436325678497,0,0,0.0625,0,0.05,5.0,Low Risk
43.83,10,23,307.57,1,1,-263.74,0.14250414539779563,0,0,0.043478260869565216,0,0.05,5.0,Low Risk
87.12,0,7,144.1,1,5,-56.97999999999999,0.6045801526717558,0,1,0.7142857142857143,0,0.05,5.0,Low Risk
277.49,23,3,20.17,0,3,257.32,13.757560733763013,1,1,1.0,0,0.05,5.0,Low Risk
316.33,21,16,119.5,0,2,196.82999999999998,2.647112970711297,1,0,0.125,0,0.05,5.0,Low Risk
156.82,8,3,173.37,0,3,-16.55000000000001,0.9045394243525408,0,0,1.0,0,0.05,5.0,Low Risk
214.11,8,28,96.89,0,5,117.22000000000001,2.2098255753947775,1,0,0.17857142857142858,0,0.05,5.0,Low Risk
106.54,11,16,56.29,0,1,50.25000000000001,1.892698525492983,0,0,0.0625,0,0.05,5.0,Low Risk
86.36,4,26,71.45,0,2,14.909999999999997,1.2086773967809656,0,1,0.07692307692307693,0,0.05,5.0,Low Risk
143.25,18,25,161.65,0,1,-18.400000000000006,0.8861738323538508,0,0,0.04,0,0.05,5.0,Low Risk
108.93,4,1,124.46,0,1,-15.529999999999987,0.8752209545235418,0,1,1.0,0,0.05,5.0,Low Risk
73.12,15,43,328.72,0,0,-255.60000000000002,0.22243854952543196,0,0,0.0,0,0.05,5.0,Low Risk
189.26,13,32,204.46,1,1,-15.200000000000017,0.9256578303824708,0,0,0.03125,0,0.05,5.0,Low Risk
282.82,5,3,321.48,0,0,-38.660000000000025,0.8797436854547717,0,1,0.0,0,0.05,5.0,Low Risk
42.62,9,25,66.56,0,2,-23.940000000000005,0.6403245192307692,0,0,0.08,0,0.05,5.0,Low Risk
70.76,16,14,67.54,0,1,3.219999999999999,1.0476754515842464,0,0,0.07142857142857142,0,0.05,5.0,Low Risk
98.84,3,26,87.35,0,0,11.490000000000009,1.1315397824842588,0,1,0.0,0,0.05,5.0,Low Risk
475.99,18,1,143.59,0,0,332.4,3.3149244376349327,1,0,0.0,0,0.05,5.0,Low Risk
280.19,0,7,84.64,0,0,195.55,3.310373345935728,1,1,0.0,0,0.05,5.0,Low Risk
177.69,20,19,293.1,0,1,-115.41000000000003,0.606243602865916,0,0,0.05263157894736842,0,0.05,5.0,Low Risk
192.14,10,23,320.71,0,2,-128.57,0.5991082286177544,0,0,0.08695652173913043,0,0.05,5.0,Low Risk
302.96,9,16,177.52,0,0,125.43999999999997,1.7066246056782333,0,0,0.0,0,0.05,5.0,Low Risk
168.48,23,23,115.18,0,1,53.29999999999998,1.4627539503386002,0,1,0.043478260869565216,0,0.05,5.0,Low Risk
106.89,15,22,45.61,0,2,61.28,2.3435650076737558,1,0,0.09090909090909091,0,0.05,5.0,Low Risk
211.96,17,24,71.7,0,1,140.26,2.9562064156206413,1,0,0.041666666666666664,0,0.05,5.0,Low Risk
132.25,3,23,114.16,0,1,18.090000000000003,1.1584618079887876,0,1,0.043478260869565216,0,0.05,5.0,Low Risk
129.75,13,6,88.49,0,3,41.260000000000005,1.4662673748446153,0,0,0.5,0,0.05,5.0,Low Risk
178.29,8,2,144.36,0,3,33.92999999999998,1.2350374064837903,0,0,1.5,0,0.05,5.0,Low Risk
82.34,0,15,365.68,0,1,-283.34000000000003,0.22516954714504486,0,1,0.06666666666666667,0,0.05,5.0,Low Risk
321.69,21,36,154.17,1,1,167.52,2.0865927223195175,1,0,0.027777777777777776,0,0.05,5.0,Low Risk
293.26,14,27,443.55,1,2,-150.29000000000002,0.6611655957614699,0,0,0.07407407407407407,0,0.05,5.0,Low Risk
164.67,13,10,142.52,0,2,22.149999999999977,1.1554167836093179,0,0,0.2,0,0.05,5.0,Low Risk
48.96,13,17,204.87,0,2,-155.91,0.23898081710352906,0,0,0.11764705882352941,0,0.05,5.0,Low Risk
133.48,10,27,105.42,0,2,28.059999999999988,1.2661734016315689,0,0,0.07407407407407407,0,0.05,5.0,Low Risk
215.59,23,19,153.08,1,2,62.50999999999999,1.4083485759080219,0,1,0.10526315789473684,0,0.05,5.0,Low Risk
78.79,1,21,48.82,0,0,29.970000000000006,1.6138877509217535,0,1,0.0,0,0.05,5.0,Low Risk
34.31,21,41,46.8,0,1,-12.489999999999995,0.7331196581196582,0,0,0.024390243902439025,0,0.05,5.0,Low Risk
176.44,23,17,61.74,0,2,114.69999999999999,2.8577907353417555,1,1,0.11764705882352941,0,0.05,5.0,Low Risk
118.1,17,12,224.3,0,3,-106.20000000000002,0.52652697280428,0,0,0.25,0,0.05,5.0,Low Risk
331.65,9,32,39.94,0,1,291.71,8.303705558337507,1,0,0.03125,0,0.05,5.0,Low Risk
203.87,14,41,168.58,0,1,35.28999999999999,1.2093368133823703,0,0,0.024390243902439025,1,0.05,5.0,Low Risk
68.02,5,18,51.57,0,2,16.449999999999996,1.31898390537134,0,1,0.1111111111111111,0,0.05,5.0,Low Risk
485.32,10,8,299.73,0,0,185.58999999999997,1.6191906048777231,0,0,0.0,0,0.05,5.0,Low Risk
90.37,14,35,44.39,0,2,45.980000000000004,2.035818878125704,1,0,0.05714285714285714,0,0.05,5.0,Low Risk
39.48,23,25,58.82,0,1,-19.340000000000003,0.6712002720163209,0,1,0.04,0,0.05,5.0,Low Risk
76.43,16,17,89.38,1,1,-12.949999999999989,0.8551130006712913,0,0,0.058823529411764705,0,0.05,5.0,Low Risk
142.88,0,31,67.0,0,1,75.88,2.132537313432836,1,1,0.03225806451612903,0,0.05,5.0,Low Risk
127.13,9,20,89.1,0,3,38.03,1.4268237934904602,0,0,0.15,0,0.05,5.0,Low Risk
113.36,3,10,124.64,0,2,-11.280000000000001,0.9094993581514762,0,1,0.2,0,0.05,5.0,Low Risk
128.4,3,18,222.78,0,1,-94.38,0.5763533530837598,0,1,0.05555555555555555,0,0.05,5.0,Low Risk
59.62,2,18,87.42,0,5,-27.800000000000004,0.681994966826813,0,1,0.2777777777777778,0,0.05,5.0,Low Risk
83.78,11,40,140.59,0,1,-56.81,0.595917206060175,0,0,0.025,0,0.05,5.0,Low Risk
149.86,12,16,40.92,0,3,108.94000000000001,3.662267839687195,1,0,0.1875,0,0.05,5.0,Low Risk
39.49,18,18,117.19,0,3,-77.69999999999999,0.3369741445515829,0,0,0.16666666666666666,0,0.05,5.0,Low Risk
182.82,0,7,96.97,0,1,85.85,1.885325358358255,0,1,0.14285714285714285,0,0.05,5.0,Low Risk
138.12,6,10,71.42,0,2,66.7,1.9339120694483338,0,0,0.2,0,0.05,5.0,Low Risk
46.85,1,14,121.57,0,2,-74.72,0.3853746812535988,0,1,0.14285714285714285,0,0.05,5.0,Low Risk
143.81,2,25,74.74,0,1,69.07000000000001,1.9241370082954243,0,1,0.04,0,0.05,5.0,Low Risk
40.99,12,24,54.02,0,2,-13.030000000000001,0.7587930396149574,0,0,0.08333333333333333,0,0.05,5.0,Low Risk
145.16,9,4,143.21,0,3,1.9499999999999886,1.0136163675720968,0,0,0.75,0,0.05,5.0,Low Risk
97.53,6,1,33.14,1,6,64.39,2.942969221484611,1,0,6.0,0,0.05,5.0,Low Risk
88.54,6,28,140.08,1,0,-51.540000000000006,0.6320673900628212,0,0,0.0,0,0.05,5.0,Low Risk
162.93,17,14,88.02,0,0,74.91000000000001,1.8510565780504433,0,0,0.0,0,0.05,5.0,Low Risk
186.77,1,21,107.38,0,4,79.39000000000001,1.7393369342521887,0,1,0.19047619047619047,0,0.05,5.0,Low Risk
148.52,11,27,727.41,0,1,-578.89,0.2041764616928555,0,0,0.037037037037037035,0,0.05,5.0,Low Risk
81.4,11,29,74.37,0,2,7.030000000000001,1.0945273631840795,0,0,0.06896551724137931,0,0.05,5.0,Low Risk
257.32,3,21,68.12,0,2,189.2,3.77745155607751,1,1,0.09523809523809523,0,0.05,5.0,Low Risk
90.69,17,25,150.34,0,3,-59.650000000000006,0.6032326726087535,0,0,0.12,0,0.045,4.5,Low Risk
106.86,23,24,223.34,0,1,-116.48,0.47846332945285214,0,1,0.041666666666666664,0,0.045,4.5,Low Risk
198.33,6,26,80.97,0,2,117.36000000000001,2.4494257132271215,1,0,0.07692307692307693,0,0.045,4.5,Low Risk
47.82,1,8,216.49,0,1,-168.67000000000002,0.22088780082220888,0,1,0.125,0,0.045,4.5,Low Risk
56.14,15,11,150.88,0,1,-94.74,0.37208377518557795,0,0,0.09090909090909091,0,0.045,4.5,Low Risk
219.72,12,26,131.22,0,0,88.5,1.674439871970736,0,0,0.0,0,0.045,4.5,Low Risk
255.19,20,10,151.6,0,1,103.59,1.6833113456464381,0,0,0.1,0,0.045,4.5,Low Risk
45.34,23,20,164.9,1,2,-119.56,0.2749545178896301,0,1,0.1,0,0.045,4.5,Low Risk
193.92,4,24,95.71,0,2,98.21,2.0261205725629505,1,1,0.08333333333333333,0,0.045,4.5,Low Risk
92.26,6,31,203.85,1,0,-111.58999999999999,0.45258768702477314,0,0,0.0,0,0.045,4.5,Low Risk
87.96,17,16,100.4,0,2,-12.440000000000012,0.8760956175298804,0,0,0.125,0,0.045,4.5,Low Risk
19.84,7,15,105.13,0,0,-85.28999999999999,0.18871872919242844,0,0,0.0,0,0.045,4.5,Low Risk
82.87,5,15,44.48,0,0,38.39000000000001,1.863084532374101,0,1,0.0,0,0.045,4.5,Low Risk
219.13,2,35,386.7,0,1,-167.57,0.5666666666666667,0,1,0.02857142857142857,0,0.045,4.5,Low Risk
184.4,3,11,55.72,0,3,128.68,3.3094041636755205,1,1,0.2727272727272727,0,0.045,4.5,Low Risk
225.58,10,15,51.66,0,2,173.92000000000002,4.366627951993806,1,0,0.13333333333333333,0,0.045,4.5,Low Risk
177.5,9,35,183.53,0,4,-6.030000000000001,0.9671443360758459,0,0,0.11428571428571428,0,0.045,4.5,Low Risk
291.72,5,23,353.06,0,1,-61.339999999999975,0.8262618251855209,0,1,0.043478260869565216,0,0.045,4.5,Low Risk
113.1,6,10,212.79,1,2,-99.69,0.5315099393768504,0,0,0.2,0,0.045,4.5,Low Risk
268.18,9,26,61.78,0,3,206.4,4.340887018452574,1,0,0.11538461538461539,0,0.045,4.5,Low Risk
97.06,17,19,205.78,0,0,-108.72,0.47166877247545924,0,0,0.0,0,0.045,4.5,Low Risk
143.88,7,33,101.06,0,2,42.81999999999999,1.4237086879081733,0,0,0.06060606060606061,0,0.045,4.5,Low Risk
81.21,21,26,61.74,0,1,19.46999999999999,1.3153547133138968,0,0,0.038461538461538464,0,0.045,4.5,Low Risk
55.83,3,16,157.73,1,4,-101.89999999999999,0.3539592975337602,0,1,0.25,0,0.045,4.5,Low Risk
30.04,15,12,101.81,0,2,-71.77000000000001,0.29505942441803357,0,0,0.16666666666666666,0,0.045,4.5,Low Risk
132.83,4,12,156.25,0,3,-23.419999999999987,0.8501120000000001,0,1,0.25,0,0.045,4.5,Low Risk
408.43,8,31,56.41,1,2,352.02,7.240382910831413,1,0,0.06451612903225806,0,0.045,4.5,Low Risk
183.69,22,10,76.14,0,2,107.55,2.412529550827423,1,0,0.2,0,0.045,4.5,Low Risk
138.61,11,18,130.75,0,4,7.860000000000014,1.0601147227533463,0,0,0.2222222222222222,0,0.045,4.5,Low Risk
231.95,9,24,136.15,0,2,95.79999999999998,1.7036356959236134,0,0,0.08333333333333333,0,0.045,4.5,Low Risk
351.98,13,1,137.97,0,2,214.01000000000002,2.5511343045589623,1,0,2.0,0,0.045,4.5,Low Risk
58.53,13,9,81.96,0,1,-23.429999999999993,0.7141288433382138,0,0,0.1111111111111111,0,0.045,4.5,Low Risk
53.82,17,10,257.67,0,1,-203.85000000000002,0.20887181278379321,0,0,0.1,0,0.045,4.5,Low Risk
82.35,16,25,61.99,1,1,20.359999999999992,1.3284400709791901,0,0,0.04,0,0.045,4.5,Low Risk
327.61,18,36,24.36,1,1,303.25,13.448686371100164,1,0,0.027777777777777776,0,0.045,4.5,Low Risk
152.23,0,30,135.51,0,5,16.72,1.1233857279905541,0,1,0.16666666666666666,0,0.045,4.5,Low Risk
169.02,17,16,406.71,0,0,-237.68999999999997,0.4155786678468688,0,0,0.0,0,0.045,4.5,Low Risk
149.63,13,16,132.91,1,2,16.72,1.125799413136709,0,0,0.125,1,0.045,4.5,Low Risk
195.72,6,36,209.31,1,1,-13.590000000000003,0.935072380679375,0,0,0.027777777777777776,0,0.045,4.5,Low Risk
404.62,22,1,188.24,0,4,216.38,2.149490012749681,1,0,4.0,0,0.045,4.5,Low Risk
101.99,7,18,38.66,0,1,63.33,2.6381272633212625,1,0,0.05555555555555555,1,0.045,4.5,Low Risk
237.98,10,22,134.64,0,0,103.34,1.7675282234105765,0,0,0.0,0,0.045,4.5,Low Risk
143.76,8,36,97.12,0,3,46.639999999999986,1.4802306425041185,0,0,0.08333333333333333,0,0.045,4.5,Low Risk
107.99,20,4,200.22,0,1,-92.23,0.5393567076216162,0,0,0.25,0,0.045,4.5,Low Risk
39.01,2,37,114.33,0,3,-75.32,0.34120528295285574,0,1,0.08108108108108109,0,0.045,4.5,Low Risk
48.27,2,19,58.19,0,1,-9.919999999999995,0.82952397319127,0,1,0.05263157894736842,0,0.045,4.5,Low Risk
169.88,16,16,350.16,0,0,-180.28000000000003,0.4851496458761708,0,0,0.0,0,0.045,4.5,Low Risk
263.44,3,15,202.95,0,2,60.49000000000001,1.2980537078098053,0,1,0.13333333333333333,0,0.045,4.5,Low Risk
112.85,13,11,63.73,1,2,49.12,1.7707516083477168,0,0,0.18181818181818182,0,0.045,4.5,Low Risk
86.11,18,4,94.6,0,3,-8.489999999999995,0.9102536997885835,0,0,0.75,0,0.045,4.5,Low Risk
132.74,14,21,45.32,0,2,87.42000000000002,2.9289496910856134,1,0,0.09523809523809523,0,0.045,4.5,Low Risk
159.27,20,46,201.04,0,1,-41.76999999999998,0.7922304019100678,0,0,0.021739130434782608,0,0.045,4.5,Low Risk
38.65,13,48,40.76,0,2,-2.1099999999999994,0.9482335623159961,0,0,0.041666666666666664,0,0.045,4.5,Low Risk
26.93,2,33,54.8,0,0,-27.869999999999997,0.4914233576642336,0,1,0.0,0,0.045,4.5,Low Risk
182.45,23,45,68.12,0,1,114.32999999999998,2.678361714621256,1,1,0.022222222222222223,0,0.045,4.5,Low Risk
93.32,2,32,82.89,0,3,10.429999999999993,1.1258294124743635,0,1,0.09375,0,0.045,4.5,Low Risk
84.55,4,34,133.76,0,0,-49.209999999999994,0.6321022727272727,0,1,0.0,0,0.045,4.5,Low Risk
123.64,20,19,165.67,0,2,-42.02999999999999,0.7463028912899138,0,0,0.10526315789473684,0,0.045,4.5,Low Risk
63.55,16,34,303.65,0,2,-240.09999999999997,0.20928700806849992,0,0,0.058823529411764705,0,0.045,4.5,Low Risk
49.56,8,2,206.75,0,0,-157.19,0.23970979443772675,0,0,0.0,0,0.045,4.5,Low Risk
40.75,4,6,42.15,0,3,-1.3999999999999986,0.966785290628707,0,1,0.5,0,0.045,4.5,Low Risk
481.97,5,27,65.12,0,0,416.85,7.4012592137592135,1,1,0.0,0,0.045,4.5,Low Risk
105.67,7,35,89.61,0,3,16.060000000000002,1.1792210690771119,0,0,0.08571428571428572,0,0.045,4.5,Low Risk
91.72,12,19,81.69,0,1,10.030000000000001,1.1227812461745623,0,0,0.05263157894736842,0,0.045,4.5,Low Risk
74.99,15,21,112.58,1,7,-37.59,0.6661041037484455,0,0,0.3333333333333333,0,0.045,4.5,Low Risk
197.51,2,19,198.79,0,2,-1.2800000000000011,0.9935610443181246,0,1,0.10526315789473684,0,0.045,4.5,Low Risk
179.2,17,27,92.0,0,1,87.19999999999999,1.9478260869565216,0,0,0.037037037037037035,0,0.045,4.5,Low Risk
125.3,9,26,62.49,1,0,62.809999999999995,2.005120819331093,1,0,0.0,0,0.045,4.5,Low Risk
117.85,18,1,39.73,0,3,78.12,2.9662723382834133,1,0,3.0,0,0.045,4.5,Low Risk
187.48,14,35,44.78,0,1,142.7,4.1866904868244745,1,0,0.02857142857142857,0,0.045,4.5,Low Risk
250.08,12,22,145.37,0,1,104.71000000000001,1.7202999243310175,0,0,0.045454545454545456,0,0.045,4.5,Low Risk
107.28,10,23,325.0,0,0,-217.72,0.3300923076923077,0,0,0.0,0,0.045,4.5,Low Risk
420.72,11,5,62.51,0,1,358.21000000000004,6.730443129099345,1,0,0.2,0,0.045,4.5,Low Risk
68.3,17,20,87.51,0,4,-19.210000000000008,0.7804822306022168,0,0,0.2,0,0.045,4.5,Low Risk
87.03,12,26,57.44,1,3,29.590000000000003,1.5151462395543176,0,0,0.11538461538461539,0,0.045,4.5,Low Risk
413.29,7,26,63.13,0,1,350.16,6.546649770315223,1,0,0.038461538461538464,0,0.045,4.5,Low Risk
